--------- beginning of main
--------- beginning of system
01-13 01:39:58.911 13639 13724 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 01:40:02.499 13639 13724 D SnpeWhyDistractionNativ: Frame number: 40, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.605 13639 13724 D SnpeWhyDistractionNativ: Frame number: 41, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.721 13639 13724 D SnpeWhyDistractionNativ: Frame number: 42, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9003784, 0.0, 0.0], modelConfidence = [0.57732904, 0.0, 0.0]
01-13 01:40:02.823 13639 13724 D SnpeWhyDistractionNativ: Frame number: 43, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:02.888 13639 13724 D SnpeWhyDistractionNativ: Frame number: 44, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.032 13639 13724 D SnpeWhyDistractionNativ: Frame number: 45, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.93278503, 0.0, 0.0], modelConfidence = [0.56003225, 0.0, 0.0]
01-13 01:40:03.131 13639 13724 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.214 13639 13724 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.325 13639 13724 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.95811677, 0.0, 0.0], modelConfidence = [0.58638984, 0.0, 0.0]
01-13 01:40:03.408 13639 13724 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.508 13639 13724 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.647 13639 13724 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0697542, 0.0, 0.0], modelConfidence = [0.44463882, 0.0, 0.0]
01-13 01:40:03.701 13639 13724 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.820 13639 13724 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:03.932 13639 13724 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.96358377, 0.0, 0.0], modelConfidence = [0.49331176, 0.0, 0.0]
01-13 01:40:04.026 13639 13724 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.101 13639 13724 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.233 13639 13724 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.71287805, 0.0, 0.0], modelConfidence = [0.70299625, 0.0, 0.0]
01-13 01:40:04.303 13639 13724 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.381 13639 13724 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.541 13639 13724 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0399597, 0.0, 0.0], modelConfidence = [0.41675445, 0.0, 0.0]
01-13 01:40:04.650 13639 13724 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.748 13639 13724 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:04.859 13639 13724 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9951822, 0.0, 0.0], modelConfidence = [0.46039066, 0.0, 0.0]
01-13 01:40:04.941 13639 13724 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.043 13639 13724 D SnpeWhyDistractionNativ: Frame number: 65, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.136 13639 13724 D SnpeWhyDistractionNativ: Frame number: 66, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9377598, 0.0, 0.0], modelConfidence = [0.54946893, 0.0, 0.0]
01-13 01:40:05.245 13639 13724 D SnpeWhyDistractionNativ: Frame number: 67, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.350 13639 13724 D SnpeWhyDistractionNativ: Frame number: 68, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.508 13639 13724 D SnpeWhyDistractionNativ: Frame number: 69, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.89122945, 0.0, 0.0], modelConfidence = [0.48892987, 0.0, 0.0]
01-13 01:40:05.547 13639 13724 D SnpeWhyDistractionNativ: Frame number: 70, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.652 13639 13724 D SnpeWhyDistractionNativ: Frame number: 71, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.722 13639 13724 D SnpeWhyDistractionNativ: Frame number: 72, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.98178107, 0.0, 0.0], modelConfidence = [0.50674075, 0.0, 0.0]
01-13 01:40:05.794 13639 13724 D SnpeWhyDistractionNativ: Frame number: 73, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:05.885 13639 13724 D SnpeWhyDistractionNativ: Frame number: 74, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.034 13639 13724 D SnpeWhyDistractionNativ: Frame number: 75, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.98665047, 0.0, 0.0], modelConfidence = [0.5614028, 0.0, 0.0]
01-13 01:40:06.104 13639 13724 D SnpeWhyDistractionNativ: Frame number: 76, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.205 13639 13724 D SnpeWhyDistractionNativ: Frame number: 77, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.333 13639 13724 D SnpeWhyDistractionNativ: Frame number: 78, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.089598, 0.0, 0.0], modelConfidence = [0.39363933, 0.0, 0.0]
01-13 01:40:06.419 13639 13724 D SnpeWhyDistractionNativ: Frame number: 79, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.496 13639 13724 D SnpeWhyDistractionNativ: Frame number: 80, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.638 13639 13724 D SnpeWhyDistractionNativ: Frame number: 81, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.9993062, 0.0, 0.0], modelConfidence = [0.56554997, 0.0, 0.0]
01-13 01:40:06.735 13639 13724 D SnpeWhyDistractionNativ: Frame number: 82, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.805 13639 13724 D SnpeWhyDistractionNativ: Frame number: 83, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:06.937 13639 13724 D SnpeWhyDistractionNativ: Frame number: 84, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0410454, 0.0, 0.0], modelConfidence = [0.51371807, 0.0, 0.0]
01-13 01:40:07.024 13639 13724 D SnpeWhyDistractionNativ: Frame number: 85, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.104 13639 13724 D SnpeWhyDistractionNativ: Frame number: 86, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.235 13639 13724 D SnpeWhyDistractionNativ: Frame number: 87, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0145549, 0.0, 0.0], modelConfidence = [0.44961104, 0.0, 0.0]
01-13 01:40:07.325 13639 13724 D SnpeWhyDistractionNativ: Frame number: 88, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.405 13639 13724 D SnpeWhyDistractionNativ: Frame number: 89, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.556 13639 13724 D SnpeWhyDistractionNativ: Frame number: 90, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.99076325, 0.0, 0.0], modelConfidence = [0.51268005, 0.0, 0.0]
01-13 01:40:07.639 13639 13724 D SnpeWhyDistractionNativ: Frame number: 91, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.697 13639 13724 D SnpeWhyDistractionNativ: Frame number: 92, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:07.829 13639 13724 D SnpeWhyDistractionNativ: Frame number: 93, processFrame: modelClass = [2, 0, 0], modelEntropy = [1.0539479, 0.0, 0.0], modelConfidence = [0.43236694, 0.0, 0.0]
01-13 01:40:07.921 13639 13724 D SnpeWhyDistractionNativ: Frame number: 94, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 01:40:08.018 13639 13724 D SnpeWhyDistractionNativ: Frame number: 95, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
