--------- beginning of main
--------- beginning of system
01-13 00:37:27.645  4022  4212 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:37:32.044  4022  4212 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.009758, 0.0, 0.0], modelConfidence = [0.43669635, 0.0, 0.0]
01-13 00:37:32.147  4022  4212 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.222  4022  4212 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.364  4022  4212 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.88380116, 0.0, 0.0], modelConfidence = [0.6298946, 0.0, 0.0]
01-13 00:37:32.432  4022  4212 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.517  4022  4212 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.662  4022  4212 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0015675, 0.0, 0.0], modelConfidence = [0.57921886, 0.0, 0.0]
01-13 00:37:32.750  4022  4212 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.819  4022  4212 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:32.957  4022  4212 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.5112541, 0.0, 0.0], modelConfidence = [0.84969825, 0.0, 0.0]
01-13 00:37:33.048  4022  4212 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.132  4022  4212 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.269  4022  4212 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6279816, 0.0, 0.0], modelConfidence = [0.7480895, 0.0, 0.0]
01-13 00:37:33.339  4022  4212 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.419  4022  4212 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.570  4022  4212 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.84342694, 0.0, 0.0], modelConfidence = [0.5902684, 0.0, 0.0]
01-13 00:37:33.647  4022  4212 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.731  4022  4212 D SnpeWhyDistractionNativ: Frame number: 65, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:33.842  4022  4212 D SnpeWhyDistractionNativ: Frame number: 66, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.67662114, 0.0, 0.0], modelConfidence = [0.70754313, 0.0, 0.0]
01-13 00:37:33.942  4022  4212 D SnpeWhyDistractionNativ: Frame number: 67, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.020  4022  4212 D SnpeWhyDistractionNativ: Frame number: 68, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.171  4022  4212 D SnpeWhyDistractionNativ: Frame number: 69, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.99729, 0.0, 0.0], modelConfidence = [0.6227037, 0.0, 0.0]
01-13 00:37:34.244  4022  4212 D SnpeWhyDistractionNativ: Frame number: 70, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.338  4022  4212 D SnpeWhyDistractionNativ: Frame number: 71, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.438  4022  4212 D SnpeWhyDistractionNativ: Frame number: 72, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.80904037, 0.0, 0.0], modelConfidence = [0.6989976, 0.0, 0.0]
01-13 00:37:34.547  4022  4212 D SnpeWhyDistractionNativ: Frame number: 73, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.640  4022  4212 D SnpeWhyDistractionNativ: Frame number: 74, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.762  4022  4212 D SnpeWhyDistractionNativ: Frame number: 75, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.830342, 0.0, 0.0], modelConfidence = [0.65383244, 0.0, 0.0]
01-13 00:37:34.831  4022  4212 D SnpeWhyDistractionNativ: Frame number: 76, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:34.926  4022  4212 D SnpeWhyDistractionNativ: Frame number: 77, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.069  4022  4212 D SnpeWhyDistractionNativ: Frame number: 78, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8453079, 0.0, 0.0], modelConfidence = [0.5633646, 0.0, 0.0]
01-13 00:37:35.139  4022  4212 D SnpeWhyDistractionNativ: Frame number: 79, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.224  4022  4212 D SnpeWhyDistractionNativ: Frame number: 80, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.364  4022  4212 D SnpeWhyDistractionNativ: Frame number: 81, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.8712361, 0.0, 0.0], modelConfidence = [0.5629096, 0.0, 0.0]
01-13 00:37:35.448  4022  4212 D SnpeWhyDistractionNativ: Frame number: 82, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.531  4022  4212 D SnpeWhyDistractionNativ: Frame number: 83, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.640  4022  4212 D SnpeWhyDistractionNativ: Frame number: 84, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.9004932, 0.0, 0.0], modelConfidence = [0.547069, 0.0, 0.0]
01-13 00:37:35.742  4022  4212 D SnpeWhyDistractionNativ: Frame number: 85, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:37:35.835  4022  4212 D SnpeWhyDistractionNativ: Frame number: 86, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
