--------- beginning of main
01-13 00:39:01.272  4423  4511 D SnpeWhyDistractionNativ: Frame number: 46, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.371  4423  4511 D SnpeWhyDistractionNativ: Frame number: 47, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.484  4423  4511 D SnpeWhyDistractionNativ: Frame number: 48, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.95811677, 0.0, 0.0], modelConfidence = [0.58638984, 0.0, 0.0]
01-13 00:39:01.597  4423  4511 D SnpeWhyDistractionNativ: Frame number: 49, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.659  4423  4511 D SnpeWhyDistractionNativ: Frame number: 50, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.790  4423  4511 D SnpeWhyDistractionNativ: Frame number: 51, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0697542, 0.0, 0.0], modelConfidence = [0.44463882, 0.0, 0.0]
01-13 00:39:01.858  4423  4511 D SnpeWhyDistractionNativ: Frame number: 52, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:01.975  4423  4511 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.106  4423  4511 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.96358377, 0.0, 0.0], modelConfidence = [0.49331176, 0.0, 0.0]
01-13 00:39:02.184  4423  4511 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.257  4423  4511 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.403  4423  4511 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [2, 0, 0], modelEntropy = [0.71287805, 0.0, 0.0], modelConfidence = [0.70299625, 0.0, 0.0]
01-13 00:39:02.474  4423  4511 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.563  4423  4511 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.681  4423  4511 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0399597, 0.0, 0.0], modelConfidence = [0.41675445, 0.0, 0.0]
01-13 00:39:02.785  4423  4511 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:39:02.873  4423  4511 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
