--------- beginning of main
01-13 00:39:53.991  4423  4511 D SnpeWhyDistractionNativ: destroyNativeObject: Destroyed why-distraction native object
--------- beginning of system
01-13 00:40:25.712  4704  4817 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-13 00:40:30.597  4704  4817 D SnpeWhyDistractionNativ: Frame number: 53, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:30.718  4704  4817 D SnpeWhyDistractionNativ: Frame number: 54, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.64055246, 0.0, 0.0], modelConfidence = [0.67960835, 0.0, 0.0]
01-13 00:40:30.801  4704  4817 D SnpeWhyDistractionNativ: Frame number: 55, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:30.888  4704  4817 D SnpeWhyDistractionNativ: Frame number: 56, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.028  4704  4817 D SnpeWhyDistractionNativ: Frame number: 57, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.6481656, 0.0, 0.0], modelConfidence = [0.7275788, 0.0, 0.0]
01-13 00:40:31.107  4704  4817 D SnpeWhyDistractionNativ: Frame number: 58, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.190  4704  4817 D SnpeWhyDistractionNativ: Frame number: 59, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.315  4704  4817 D SnpeWhyDistractionNativ: Frame number: 60, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.5018563, 0.0, 0.0], modelConfidence = [0.8088765, 0.0, 0.0]
01-13 00:40:31.392  4704  4817 D SnpeWhyDistractionNativ: Frame number: 61, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.491  4704  4817 D SnpeWhyDistractionNativ: Frame number: 62, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.642  4704  4817 D SnpeWhyDistractionNativ: Frame number: 63, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.70275676, 0.0, 0.0], modelConfidence = [0.5407769, 0.0, 0.0]
01-13 00:40:31.708  4704  4817 D SnpeWhyDistractionNativ: Frame number: 64, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.804  4704  4817 D SnpeWhyDistractionNativ: Frame number: 65, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:31.918  4704  4817 D SnpeWhyDistractionNativ: Frame number: 66, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6973255, 0.0, 0.0], modelConfidence = [0.51539844, 0.0, 0.0]
01-13 00:40:31.993  4704  4817 D SnpeWhyDistractionNativ: Frame number: 67, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.082  4704  4817 D SnpeWhyDistractionNativ: Frame number: 68, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.214  4704  4817 D SnpeWhyDistractionNativ: Frame number: 69, processFrame: modelClass = [0, 0, 0], modelEntropy = [0.6931476, 0.0, 0.0], modelConfidence = [0.57475746, 0.0, 0.0]
01-13 00:40:32.307  4704  4817 D SnpeWhyDistractionNativ: Frame number: 70, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.386  4704  4817 D SnpeWhyDistractionNativ: Frame number: 71, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-13 00:40:32.523  4704  4817 D SnpeWhyDistractionNativ: Frame number: 72, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.729772, 0.0, 0.0], modelConfidence = [0.5934083, 0.0, 0.0]
01-13 00:40:32.624  4704  4817 D SnpeWhyDistractionNativ: Frame number: 73, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
