--------- beginning of main
--------- beginning of system
01-12 18:51:38.441 13809 13909 D SnpeWhyDistractionNativ: initNativeObject: Initialized Why-Distraction native wrapper 
01-12 18:51:49.621 13809 13909 D SnpeWhyDistractionNativ: Frame number: 116, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.764 13809 13909 D SnpeWhyDistractionNativ: Frame number: 117, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.7831308, 0.0, 0.0], modelConfidence = [0.72060144, 0.0, 0.0]
01-12 18:51:49.825 13809 13909 D SnpeWhyDistractionNativ: Frame number: 118, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:49.926 13809 13909 D SnpeWhyDistractionNativ: Frame number: 119, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:50.048 13809 13909 D SnpeWhyDistractionNativ: Frame number: 120, processFrame: modelClass = [3, 0, 0], modelEntropy = [1.0041701, 0.0, 0.0], modelConfidence = [0.5911672, 0.0, 0.0]
01-12 18:51:50.136 13809 13909 D SnpeWhyDistractionNativ: Frame number: 121, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:50.225 13809 13909 D SnpeWhyDistractionNativ: Frame number: 122, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:50.363 13809 13909 D SnpeWhyDistractionNativ: Frame number: 123, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.95243555, 0.0, 0.0], modelConfidence = [0.60125387, 0.0, 0.0]
01-12 18:51:50.425 13809 13909 D SnpeWhyDistractionNativ: Frame number: 124, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:50.534 13809 13909 D SnpeWhyDistractionNativ: Frame number: 125, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
01-12 18:51:50.656 13809 13909 D SnpeWhyDistractionNativ: Frame number: 126, processFrame: modelClass = [3, 0, 0], modelEntropy = [0.92943066, 0.0, 0.0], modelConfidence = [0.59908426, 0.0, 0.0]
01-12 18:51:50.737 13809 13909 D SnpeWhyDistractionNativ: Frame number: 127, processFrame: modelClass = [-99, 0, 0], modelEntropy = [0.0, 0.0, 0.0], modelConfidence = [0.0, 0.0, 0.0]
